iter	Passed	Remaining
0	175	174843
1	176	88299
2	179	59510
3	180	44933
4	191	38130
5	194	32265
6	211	29936
7	224	27848
8	226	24943
9	234	23206
10	236	21240
11	238	19599
12	239	18212
13	241	17035
14	250	16481
15	252	15557
16	273	15789
17	286	15633
18	289	14940
19	296	14518
20	299	13981
21	301	13413
22	304	12918
23	312	12697
24	313	12243
25	316	11860
26	318	11482
27	345	12010
28	348	11659
29	357	11562
30	359	11231
31	361	10923
32	363	10643
33	364	10367
34	371	10241
35	373	9995
36	375	9772
37	376	9542
38	378	9327
39	384	9221
40	385	9026
41	387	8848
42	389	8668
43	390	8493
44	392	8330
45	393	8170
46	396	8034
47	398	7900
48	401	7784
49	402	7656
50	407	7585
51	409	7474
52	468	8370
53	474	8309
54	478	8215
55	480	8095
56	482	7976
57	484	7860
58	486	7760
59	495	7761
60	497	7655
61	500	7573
62	508	7560
63	510	7465
64	515	7413
65	542	7671
66	544	7578
67	548	7515
68	695	9387
69	697	9266
70	709	9278
71	711	9175
72	721	9158
73	724	9061
74	727	8975
75	736	8949
76	739	8861
77	741	8761
78	825	9621
79	915	10525
80	1039	11796
81	1068	11959
82	1069	11813
83	1073	11706
84	1075	11575
85	1081	11496
86	1084	11381
87	1097	11377
88	1101	11273
89	1103	11155
90	1105	11041
91	1107	10928
92	1109	10817
93	1112	10725
94	1125	10723
95	1127	10617
96	1165	10845
97	1171	10785
98	1173	10680
99	1177	10598
100	1181	10512
101	1188	10466
102	1190	10371
103	1193	10278
104	1195	10187
105	1204	10156
106	1211	10108
107	1213	10025
108	1217	9955
109	1219	9867
110	1221	9784
111	1228	9742
112	1232	9672
113	1233	9588
114	1235	9510
115	1237	9434
116	1242	9378
117	1244	9302
118	1245	9224
119	1248	9158
120	1250	9085
121	1251	9008
122	1253	8935
123	1258	8888
124	1259	8818
125	1261	8748
126	1262	8676
127	1263	8610
128	1267	8557
129	1270	8499
130	1272	8438
131	1273	8376
132	1275	8315
133	1276	8252
134	1278	8192
135	1279	8130
136	1285	8100
137	1287	8044
138	1289	7989
139	1291	7935
140	1293	7880
141	1294	7822
142	1310	7853
143	1312	7802
144	1316	7761
145	1318	7712
146	1320	7664
147	1322	7613
148	1328	7590
149	1331	7542
150	1334	7504
151	1337	7459
152	1339	7412
153	1343	7380
154	1345	7337
155	1347	7291
156	1349	7248
157	1351	7203
158	1357	7181
159	1359	7137
160	1360	7090
161	1362	7048
162	1364	7005
163	1369	6982
164	1372	6944
165	1374	6904
166	1376	6865
167	1378	6826
168	1380	6790
169	1383	6752
170	1384	6711
171	1385	6670
172	1386	6629
173	1388	6591
174	1390	6553
175	1391	6514
176	1395	6487
177	1396	6449
178	1398	6413
179	1399	6377
180	1401	6339
181	1402	6302
182	1403	6266
183	1404	6229
184	1409	6211
185	1411	6176
186	1412	6142
187	1414	6108
188	1415	6075
189	1417	6041
190	1418	6008
191	1419	5975
192	1426	5964
193	1428	5933
194	1429	5900
195	1430	5868
196	1434	5847
197	1439	5831
198	1442	5804
199	1444	5776
200	1447	5755
201	1449	5725
202	1453	5706
203	1455	5677
204	1456	5647
205	1457	5619
206	1459	5590
207	1460	5561
208	1461	5532
209	1462	5503
210	1464	5474
211	1469	5462
212	1471	5435
213	1472	5407
214	1473	5379
215	1474	5352
216	1475	5324
217	1476	5297
218	1478	5271
219	1479	5244
220	1481	5223
221	1483	5199
222	1485	5174
223	1486	5150
224	1487	5124
225	1488	5099
226	1490	5073
227	1491	5049
228	1492	5024
229	1493	4999
230	1497	4986
231	1499	4963
232	1500	4939
233	1501	4915
234	1502	4892
235	1504	4870
236	1505	4847
237	1506	4824
238	1507	4801
239	1508	4778
240	1515	4773
241	1518	4755
242	1519	4734
243	1521	4712
244	1525	4700
245	1527	4680
246	1528	4660
247	1530	4640
248	1531	4619
249	1532	4598
250	1534	4578
251	1535	4557
252	1536	4538
253	1542	4529
254	1543	4509
255	1544	4489
256	1548	4475
257	1549	4456
258	1550	4436
259	1552	4417
260	1557	4408
261	1558	4390
262	1560	4372
263	1561	4353
264	1562	4334
265	1563	4315
266	1565	4298
267	1567	4280
268	1571	4270
269	1573	4253
270	1574	4236
271	1576	4218
272	1577	4201
273	1578	4183
274	1580	4165
275	1581	4148
276	1584	4136
277	1586	4121
278	1588	4104
279	1590	4091
280	1595	4081
281	1599	4072
282	1601	4056
283	1603	4041
284	1604	4025
285	1606	4010
286	1608	3996
287	1615	3993
288	1617	3979
289	1619	3964
290	1621	3949
291	1623	3935
292	1628	3928
293	1629	3914
294	1631	3899
295	1633	3884
296	1635	3870
297	1636	3855
298	1638	3842
299	1645	3839
300	1647	3825
301	1648	3811
302	1651	3798
303	1653	3784
304	1655	3772
305	1659	3763
306	1660	3748
307	1662	3734
308	1663	3720
309	1664	3705
310	1666	3691
311	1667	3676
312	1668	3662
313	1672	3653
314	1674	3641
315	1675	3627
316	1677	3613
317	1678	3600
318	1680	3587
319	1681	3573
320	1682	3559
321	1688	3555
322	1689	3541
323	1691	3528
324	1692	3514
325	1694	3502
326	1695	3489
327	1697	3477
328	1698	3464
329	1701	3454
330	1703	3442
331	1705	3431
332	1707	3419
333	1708	3407
334	1710	3395
335	1712	3383
336	1717	3377
337	1718	3365
338	1719	3353
339	1721	3340
340	1722	3329
341	1724	3317
342	1725	3305
343	1726	3293
344	1731	3288
345	1733	3276
346	1735	3265
347	1737	3256
348	1739	3244
349	1741	3233
350	1745	3227
351	1747	3216
352	1748	3205
353	1750	3194
354	1751	3182
355	1752	3171
356	1754	3159
357	1758	3153
358	1760	3143
359	1761	3132
360	1763	3120
361	1764	3109
362	1766	3099
363	1767	3088
364	1768	3077
365	1770	3066
366	1775	3062
367	1777	3052
368	1779	3042
369	1780	3031
370	1781	3020
371	1782	3009
372	1784	3000
373	1789	2994
374	1793	2989
375	1798	2984
376	1808	2988
377	1810	2978
378	1811	2968
379	1813	2958
380	1814	2947
381	1817	2940
382	1819	2931
383	1821	2922
384	1822	2912
385	1824	2901
386	1825	2891
387	1826	2881
388	1828	2872
389	1832	2866
390	1834	2857
391	1835	2847
392	1837	2838
393	1838	2828
394	1840	2818
395	1841	2808
396	1842	2798
397	1847	2795
398	1849	2785
399	1850	2776
400	1852	2766
401	1853	2757
402	1855	2748
403	1856	2738
404	1857	2729
405	1862	2725
406	1864	2716
407	1865	2707
408	1867	2697
409	1868	2688
410	1869	2679
411	1871	2670
412	1872	2661
413	1874	2653
414	1876	2645
415	1878	2636
416	1879	2627
417	1883	2622
418	1884	2613
419	1885	2604
420	1886	2595
421	1891	2590
422	1893	2582
423	1894	2573
424	1895	2565
425	1897	2556
426	1899	2548
427	1900	2539
428	1901	2531
429	1903	2523
430	1905	2516
431	1907	2508
432	1908	2499
433	1909	2490
434	1911	2482
435	1912	2473
436	1913	2464
437	1915	2457
438	1917	2450
439	1920	2443
440	1921	2435
441	1922	2427
442	1924	2419
443	1925	2411
444	1926	2402
445	1927	2394
446	1928	2386
447	1929	2377
448	1930	2369
449	1935	2365
450	1936	2357
451	1937	2349
452	1938	2341
453	1939	2333
454	1941	2325
455	1942	2317
456	1943	2309
457	1945	2301
458	1949	2297
459	1951	2290
460	1952	2283
461	1953	2275
462	1955	2267
463	1956	2260
464	1957	2252
465	1959	2245
466	1964	2242
467	1965	2234
468	1967	2227
469	1969	2220
470	1970	2213
471	1971	2205
472	1972	2198
473	1974	2190
474	1975	2183
475	1978	2178
476	1980	2171
477	1981	2164
478	1985	2159
479	1986	2152
480	1991	2148
481	1993	2141
482	1994	2134
483	1995	2127
484	1997	2120
485	1998	2113
486	1999	2106
487	2001	2100
488	2006	2096
489	2007	2089
490	2009	2082
491	2010	2076
492	2012	2069
493	2013	2062
494	2014	2055
495	2016	2048
496	2017	2041
497	2022	2039
498	2024	2032
499	2025	2025
500	2027	2019
501	2029	2013
502	2030	2006
503	2035	2002
504	2037	1997
505	2039	1991
506	2040	1984
507	2042	1977
508	2043	1971
509	2045	1965
510	2049	1961
511	2050	1954
512	2052	1948
513	2053	1941
514	2055	1935
515	2056	1928
516	2057	1922
517	2059	1916
518	2060	1909
519	2066	1907
520	2067	1901
521	2069	1894
522	2070	1888
523	2072	1882
524	2073	1876
525	2075	1870
526	2081	1868
527	2083	1862
528	2085	1856
529	2086	1850
530	2089	1845
531	2090	1839
532	2093	1834
533	2095	1828
534	2096	1822
535	2098	1816
536	2099	1810
537	2100	1804
538	2101	1797
539	2103	1791
540	2104	1785
541	2105	1778
542	2109	1775
543	2110	1769
544	2112	1763
545	2113	1757
546	2114	1751
547	2115	1744
548	2117	1739
549	2118	1733
550	2119	1727
551	2120	1721
552	2123	1716
553	2125	1710
554	2126	1705
555	2127	1699
556	2128	1693
557	2129	1687
558	2130	1681
559	2132	1675
560	2133	1669
561	2135	1663
562	2137	1658
563	2138	1653
564	2140	1648
565	2142	1643
566	2143	1637
567	2144	1631
568	2146	1625
569	2150	1622
570	2152	1617
571	2153	1611
572	2154	1605
573	2155	1599
574	2156	1594
575	2158	1588
576	2159	1583
577	2160	1577
578	2162	1572
579	2166	1568
580	2168	1563
581	2170	1558
582	2171	1553
583	2175	1549
584	2180	1546
585	2182	1541
586	2183	1536
587	2185	1531
588	2187	1526
589	2188	1520
590	2189	1515
591	2191	1510
592	2196	1507
593	2197	1502
594	2199	1497
595	2200	1491
596	2202	1486
597	2205	1482
598	2207	1477
599	2208	1472
600	2209	1467
601	2211	1461
602	2212	1456
603	2213	1451
604	2216	1446
605	2218	1442
606	2219	1437
607	2220	1431
608	2223	1427
609	2224	1422
610	2225	1416
611	2226	1411
612	2228	1406
613	2233	1403
614	2235	1399
615	2236	1394
